Date,data,median,LB,UB
2008,5538,5538,5538,5538
2009,5608,5455.411474,5223.417107,5669.154074
2010,5431,5429.328714,5217.023332,5630.245988
2011,5308,5386.934486,5187.286445,5589.251416
2012,5356,5335.828644,5136.977476,5531.978233
2013,5253,5290.464656,5087.568208,5490.089476
2014,5081,5232.430425,5032.532945,5429.641684
2015,5218,5177.543606,4974.840359,5376.274592
2016,5144,5114.714377,4914.947031,5326.274257
2017,5098,5056.61926,4834.822573,5272.929835
2018,4944,4988.806956,4772.678829,5221.388112
2019,4772,4928.901141,4706.821698,5166.656121
2020,4106,4861.268385,4610.053598,5121.513897
2021,4817,4799.887801,4544.073757,5079.266174
